artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,82,7233950
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,88,12177686
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93659
3JsHnjpbhX4SnySpvpa9DK,V,81,16630013
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3969312
4ClziihVpBeFXNyDH83Lde,UMI,62,960338
6YVMFz59CuY7ngCxTxjpxE,aespa,76,4381903
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6783677
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2835413
47mIJdHORyRerp4os813jD,League of Legends,78,1772958
6hhqsQZhtp9hfaZhSd0VSD,WJSN,48,909567
2jOm3cYujQx6o1dxuiuqaX,RIIZE,63,378325
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,97662279
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,6385347
250b0Wlc5Vk0CoUsaCY84M,JENNIE,78,5063378
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,79,21972064
