artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,82,7210606
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,12116966
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93508
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3925405
3JsHnjpbhX4SnySpvpa9DK,V,81,16584269
6YVMFz59CuY7ngCxTxjpxE,aespa,76,4348107
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2834613
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6727604
2LWLcwnQRro1tCxeHgsYRj,KingLee,39,100
47mIJdHORyRerp4os813jD,League of Legends,78,1770477
2jOm3cYujQx6o1dxuiuqaX,RIIZE,63,369991
3cjEqqelV9zb4BYE3qDQ4O,EXO,71,9673505
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,79,21951009
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,6337910
250b0Wlc5Vk0CoUsaCY84M,JENNIE,77,5014915
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,97206206
