artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11990740
3MdXrJWsbVzdn6fe5JYkSQ,Latto,79,1359703
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11990740
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,84,3285042
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11990740
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3863859
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11990740
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
3JsHnjpbhX4SnySpvpa9DK,V,81,16510247
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
164Uj4eKjl6zTBKfJLFKKK,JVKE,76,3641001
1lpOgw56wZLDa8gaP6bSIs,Fast & Furious: The Fast Saga,69,69430
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,79,10025075
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,78,7279524
7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,66,306896
6YVMFz59CuY7ngCxTxjpxE,aespa,75,4301058
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11990740
23zg3TcAtWQy7J6upgbUnj,USHER,79,10860520
3cjEqqelV9zb4BYE3qDQ4O,EXO,70,9704819
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,79,10025075
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,78,7279524
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
164Uj4eKjl6zTBKfJLFKKK,JVKE,76,3641001
7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,66,306896
1lpOgw56wZLDa8gaP6bSIs,Fast & Furious: The Fast Saga,69,69430
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2837987
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
3JsHnjpbhX4SnySpvpa9DK,V,81,16510247
2LWLcwnQRro1tCxeHgsYRj,KingLee,37,85
6ma7eBrKihYrXcvdMNpnc5,J Money,27,7836
2LWLcwnQRro1tCxeHgsYRj,KingLee,37,85
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,84,9567984
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,89,95325208
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
47mIJdHORyRerp4os813jD,League of Legends,78,1767942
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
3JsHnjpbhX4SnySpvpa9DK,V,81,16510247
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7106057
5WUlDfRSoLAfcVSX1WnrxN,Sia,85,27360240
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,11990740
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93382
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
7IEhlwWQA7pCkEvzwwHehE,ASH ISLAND,54,290823
0E0fq98DMHhkAgiXWpCViX,Skinny Brown,44,58123
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6649752
