artist_id,artist_name,track_id,track_name,track_picture_url,release_date,track_popularity,genres,rank
1oSPZhvZMIrWW5I41kPkkY,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,https://i.scdn.co/image/ab67616d00001e022b46078245d0120690eb560d,2023-03-24,91,k-pop,1
6HaGTQPmzraVmaVxvz6EUc,"Jung Kook, Latto",2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316,2023-11-03,88,k-pop,2
1oSPZhvZMIrWW5I41kPkkY,Jimin,0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),https://i.scdn.co/image/ab67616d00001e022b46078245d0120690eb560d,2023-03-24,82,k-pop,3
1oSPZhvZMIrWW5I41kPkkY,Jimin,3k6q0O9JnO2GhvD6C8fs20,Closer Than This,https://i.scdn.co/image/ab67616d00001e02e3dbc03f538633dbb40adf37,2023-12-22,89,k-pop,4
1oSPZhvZMIrWW5I41kPkkY,Jimin,59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,https://i.scdn.co/image/ab67616d00001e024f4ec2c2a865569bd4a067a4,2023-03-17,79,k-pop,5
6HaGTQPmzraVmaVxvz6EUc,"Jung Kook, Jack Harlow",01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),https://i.scdn.co/image/ab67616d00001e0299583bb32b47e87d55c6064b,2023-10-02,84,k-pop,6
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316,2023-11-03,95,k-pop,7
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,21ewxM3YvcdTj7cC0XwznO,Do or Die,https://i.scdn.co/image/ab67616d00001e02831b4a8eb3bd16788dca633a,2023-10-09,71,trot,8
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,4WUpMUjdoi47LY7gBQBXe3,Grain of Sand,https://i.scdn.co/image/ab67616d00001e02111a6e9b713b646443c5c222,2023-06-05,69,trot,9
3JsHnjpbhX4SnySpvpa9DK,V,2N0SPREDYqILVEFSsWF5N5,Love Me Again,https://i.scdn.co/image/ab67616d00001e022f1a5b69c2bd76474bca8035,2023-08-11,89,j-division,10
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,6auT8cRBu3BgPRBrdVBY15,London Boy,https://i.scdn.co/image/ab67616d00001e022d2009b6cad53ddacad11334,2022-11-15,67,trot,11
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,74X2u8JMVooG2QbjRxXwR8,Perfect Night,https://i.scdn.co/image/ab67616d00001e025e352f6eccf8cb96d0b247cc,2023-10-27,88,k-pop girl group,12
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,2tA3NP12r4niSRhb9Y6AoY,Polaroid,https://i.scdn.co/image/ab67616d00001e022d2009b6cad53ddacad11334,2022-11-15,64,trot,13
