artist_id,artist_name,track_id,track_name,track_picture_url,release_date,track_popularity,genre
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,4Cr43xPo7bwyCcL1g3yVCu,A bientot,https://i.scdn.co/image/ab67616d00001e028f116e476da669a9a3e7dcaa,2022-05-02,61,trot
3qNVuliS40BLgXGxhdBdqu,TAEYEON,2gyCwrOcC6JBoaJ8JGJ7T8,To. X,https://i.scdn.co/image/ab67616d00001e02ed4dcfaf5f63938ecd6c4d59,2023-11-27,76,k-pop
6HvZYsbFfjnjFrWF950C9d,NewJeans,3r8RuvgbX9s7ammBn07D3W,Ditto,https://i.scdn.co/image/ab67616d00001e02edf5b257be1d6593e81bb45f,2022-12-19,85,k-pop
3JsHnjpbhX4SnySpvpa9DK,V,5h1BN75CEh8wdSwE1xrbSe,Slow Dancing,https://i.scdn.co/image/ab67616d00001e028e504c5aedaae49a73ed4963,2023-09-08,92,j-division
2LWLcwnQRro1tCxeHgsYRj,KingLee,33fUk4sBTnhJQnts8IGGBd,Rumble,https://i.scdn.co/image/ab67616d00001e02933cd91072109ea32e76e456,2023-10-27,52,
"6ma7eBrKihYrXcvdMNpnc5, 2LWLcwnQRro1tCxeHgsYRj","J Money, KingLee",264EQ3efdfDChq4PjuywR7,All Or Nothing,https://i.scdn.co/image/ab67616d00001e02a95d741009762c6c425cf4a6,2023-11-27,45,futuristic swag
6HvZYsbFfjnjFrWF950C9d,NewJeans,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,https://i.scdn.co/image/ab67616d00001e023d98a0ae7c78a3a9babaf8af,2023-07-07,89,k-pop
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,https://i.scdn.co/image/ab67616d00001e024246e3158421f5abb75abc4f,1994-10-28,100,dance pop
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,https://i.scdn.co/image/ab67616d00001e02a1db745e63940bc06985dea5,2014-11-24,96,pop
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,2lsRp40mCRkhqULWdMbOzn,I Love You,https://i.scdn.co/image/ab67616d00001e028f116e476da669a9a3e7dcaa,2022-05-02,60,trot
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,43u5DDtK4vQ1coWXb4S5a8,HERO,https://i.scdn.co/image/ab67616d00001e0220b05d0ab75d4c27f1e4bbd6,2020-11-04,59,trot
6HvZYsbFfjnjFrWF950C9d,NewJeans,6JVXVLqCPaodBSEwRFUN8w,Ditto (250 Remix),https://i.scdn.co/image/ab67616d00001e02782a8cae588fee29eefec8b6,2023-12-19,61,k-pop
"47mIJdHORyRerp4os813jD, 6HvZYsbFfjnjFrWF950C9d","League of Legends, NewJeans",210JJAa9nJOgNa0YNrsT5g,GODS,https://i.scdn.co/image/ab67616d00001e02e4179b3fb74beaf0cdfa7a13,2023-10-04,86,speedrun
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,7x3SGAkfIrzDr9paSslwMv,Lovely Touch,https://i.scdn.co/image/ab67616d00001e028f116e476da669a9a3e7dcaa,2022-05-02,59,trot
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,1E14FuM0BRaHAJSJ9YxMVu,A Psalm of Life,https://i.scdn.co/image/ab67616d00001e028f116e476da669a9a3e7dcaa,2022-05-02,60,trot
3JsHnjpbhX4SnySpvpa9DK,V,5ydjxBSUIDn26MFzU3asP4,Rainy Days,https://i.scdn.co/image/ab67616d00001e022f1a5b69c2bd76474bca8035,2023-08-11,82,j-division
1oSPZhvZMIrWW5I41kPkkY,Jimin,5oaQsszgxYAdABuXoWEOUe,Christmas Love,https://i.scdn.co/image/ab67616d00001e026102fbfee73db153a32d02ab,2020-12-24,71,k-pop
5WUlDfRSoLAfcVSX1WnrxN,Sia,7uoFMmxln0GPXQ0AcCBXRq,Snowman,https://i.scdn.co/image/ab67616d00001e02d1410c1372fab1e516328fa8,2018-11-01,94,australian dance
6HvZYsbFfjnjFrWF950C9d,NewJeans,4yjDMKCAeLovlo9ih0AgXW,OMG (FRNK Remix),https://i.scdn.co/image/ab67616d00001e02782a8cae588fee29eefec8b6,2023-12-19,59,k-pop
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,5ONOlTiqymhzwcFjqcIT6E,Hate You,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316,2023-11-03,86,k-pop
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,4rMEoXVYww6Xy7q9wSj4gy,Love Always Run Away,https://i.scdn.co/image/ab67616d00001e02e56f69fd58795fbbcbc919f2,2021-10-11,60,trot
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,365znJ27Fb3faGsctmQYWR,Father,https://i.scdn.co/image/ab67616d00001e028f116e476da669a9a3e7dcaa,2022-05-02,59,trot
6HvZYsbFfjnjFrWF950C9d,NewJeans,2nW48vXnZZ5EYka46v7GOk,Attention (250 Remix),https://i.scdn.co/image/ab67616d00001e02782a8cae588fee29eefec8b6,2023-12-19,58,k-pop
6HvZYsbFfjnjFrWF950C9d,NewJeans,56v8WEnGzLByGsDAXDiv4d,ETA,https://i.scdn.co/image/ab67616d00001e020744690248ef3ba7b776ea7b,2023-07-21,84,k-pop
"7IEhlwWQA7pCkEvzwwHehE, 0E0fq98DMHhkAgiXWpCViX","ASH ISLAND, Skinny Brown",4YJlv9lK1EsszlUZ4ekj7I,Stay With Me (Feat. Skinny Brown),https://i.scdn.co/image/ab67616d00001e0274303e36490fd2dbef3607bc,2023-12-18,52,k-rap
6HvZYsbFfjnjFrWF950C9d,NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,https://i.scdn.co/image/ab67616d00001e02d70036292d54f29e8b68ec01,2023-01-02,86,k-pop
