artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,82,7238379
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,88,12194870
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93677
3JsHnjpbhX4SnySpvpa9DK,V,82,16640939
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3979360
4ClziihVpBeFXNyDH83Lde,UMI,64,961546
6YVMFz59CuY7ngCxTxjpxE,aespa,76,4389224
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2835456
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6797390
47mIJdHORyRerp4os813jD,League of Legends,78,1773458
2jOm3cYujQx6o1dxuiuqaX,RIIZE,63,380296
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,97756509
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,79,21975765
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,6395623
