artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,7197351
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,89,12096218
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93480
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3914827
3JsHnjpbhX4SnySpvpa9DK,V,81,16571535
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2834431
6YVMFz59CuY7ngCxTxjpxE,aespa,75,4340422
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6714338
3cjEqqelV9zb4BYE3qDQ4O,EXO,70,9675176
47mIJdHORyRerp4os813jD,League of Legends,78,1769904
2jOm3cYujQx6o1dxuiuqaX,RIIZE,63,367858
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,79,21945470
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,6325074
250b0Wlc5Vk0CoUsaCY84M,JENNIE,77,5003009
