danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.714,0.853,-3.101,0.0347,0.0671,0.0,0.408,0.601,102.999,263067
0.318,0.589,-9.372,0.0579,0.723,0.902,0.0866,0.377,188.179,241480
0.681,0.378,-6.57,0.0403,0.643,0.0,0.126,0.426,81.004,216533
0.637,0.847,-6.37,0.0456,0.432,5.23e-06,0.102,0.884,173.969,214000
0.566,0.674,-8.636,0.0306,0.486,0.0047,0.0976,0.635,144.603,216227
0.702,0.68,-7.13,0.0614,0.0163,1.91e-06,0.0341,0.603,169.928,383813
0.604,0.923,-2.417,0.24,0.0545,0.0,0.0882,0.923,194.006,218240
0.694,0.644,-8.953,0.04,0.0392,0.0,0.0673,0.434,120.063,271581
0.766,0.832,-8.301,0.0402,0.533,0.0036,0.137,0.979,125.009,273813
0.48,0.647,-6.356,0.0482,0.213,0.637,0.0888,0.275,140.008,255453
0.745,0.575,-6.951,0.0352,0.503,0.0,0.117,0.759,90.98,232027
0.676,0.87,-5.627,0.179,0.439,0.0,0.159,0.691,146.974,230400
0.634,0.489,-8.439,0.0306,0.36,0.0061,0.0908,0.168,71.978,274733
0.333,0.938,-4.461,0.186,1.95e-05,0.0059,0.139,0.445,124.978,204133
0.721,0.895,-5.916,0.0339,0.737,1.23e-06,0.286,0.939,129.707,214600
0.315,0.0923,-17.453,0.0385,0.929,0.0,0.157,0.199,129.939,256837
0.502,0.49,-6.264,0.0289,0.293,0.0,0.12,0.375,79.961,273502
0.582,0.923,-4.376,0.142,0.32,0.0,0.0589,0.743,169.091,236040
0.77,0.87,-5.368,0.123,0.257,0.0,0.292,0.55,100.974,204893
0.666,0.366,-8.767,0.0268,0.599,2.65e-05,0.12,0.436,132.028,200857
0.765,0.503,-8.875,0.0682,0.396,0.00021,0.0843,0.718,100.033,227467
0.669,0.939,-3.636,0.0444,0.0692,1.11e-06,0.0542,0.805,100.063,273567
0.539,0.713,-3.508,0.036,0.142,0.0,0.0866,0.39,141.96,272853
0.816,0.886,-2.86,0.18,0.0216,1.09e-06,0.0993,0.823,108.045,206733
0.63,0.658,-6.037,0.033,0.232,4.46e-05,0.0906,0.964,168.139,199387
0.673,0.607,-10.557,0.175,0.0309,5.58e-06,0.175,0.348,80.93,285652
0.744,0.566,-9.632,0.0365,0.68,4.24e-06,0.161,0.462,125.365,233973
0.48,0.906,-5.907,0.0688,0.00576,1.07e-05,0.104,0.646,130.042,242068
0.748,0.763,-7.956,0.251,0.0481,0.0,0.1,0.649,159.933,181487
0.689,0.467,-9.148,0.0242,0.537,1.87e-06,0.0702,0.617,108.015,225467
0.654,0.325,-8.102,0.029,0.754,0.0,0.12,0.236,131.696,233520
0.595,0.709,-9.545,0.0388,0.775,0.0721,0.8,0.639,137.501,164667
0.771,0.609,-5.683,0.162,0.000738,0.888,0.112,0.36,139.992,362667
0.693,0.56,-9.316,0.358,0.00676,0.0,0.358,0.836,175.833,282865
0.777,0.835,-5.95,0.044,0.21,0.0,0.122,0.575,129.975,183349
0.487,0.404,-7.224,0.026,0.437,0.0,0.11,0.244,79.886,260480
